帽子,hat,0.823173853938853
房间,room,0.8210625507306614
那儿,there,0.820658987323708
啤酒,beer,0.820487131848541
湖,lake,0.8203164095161791
以及,and,0.818190769880552
银行,bank,0.8179952886171551
六个,six,0.8172131344930715
餐馆,restaurant,0.8169937348309567
钢,steel,0.8167565555778958
实业,industrial,0.8162530614631659
汇兑,exchange,0.8162400351034512
开证,requesting,0.8161896242394399
其它,other,0.8161393257604806
尤其是,especially,0.8153912031565674
房子,house,0.8151761784727841
六月,june,0.8138346368178793
爱情,love,0.813190518381699
上海,shanghai,0.8113323766398184
类似的,similar,0.8101082057869555
五,five,0.8095181929549924
俱乐部,club,0.8092577267512165
巴基斯坦,pakistan,0.8089366420973051
老,old,0.8088285049839739
莎士比亚,shakespeare,0.8079421501674229
现金,cash,0.8079296710925259
地址,address,0.8078033406084248
从来,never,0.807189117129981
圣诞节,christmas,0.8069649539451147
密西根,michigan,0.8063035166429987
名字,name,0.8062798127182607
村庄,village,0.8051604743790357
花园,garden,0.8047842469835045
办公室,office,0.8046660743301017
英文,english,0.8042045549378203
黄色,yellow,0.8035893722936268
下午,afternoon,0.8035107070789755
政府,government,0.8031102318063058
网络,network,0.8028370711879796
学校,school,0.8020755439421892
和平,peace,0.8015330319504748
生意,business,0.8010357722074182
常常,often,0.8009511746453173
其他,other,0.8007002095042905
哦,oh,0.8006865066993855
简,jane,0.8003226862399652
冬季,winter,0.8002437615867305
北京,beijing,0.8000189044802705
母亲,mother,0.7993074531150208
战争,war,0.799195045662172
面包,bread,0.7991262016809936
会计部,accounting,0.7989435851718597
更多,more,0.7986001597117326
总是,always,0.7980565692933436
糖,sugar,0.7977106917113276
盐,salt,0.7976517417766122
信息,information,0.7973616590713046
水,water,0.7968622490211821
市场,market,0.7955588340360549
并,and,0.7953557758548435
所有的,all,0.7950080974803816
贸易,trade,0.7949399571615927
大约,about,0.7940406496420542
癌症,cancer,0.7935982441822937
寒冷,cold,0.7935034441510912
历史,history,0.7933516878056599
来自,from,0.7932462166642981
固体,solid,0.792090407684865
丑闻,scandal,0.7916971453586397
足球,football,0.7902491108684646
留底,duplicate,0.7900308593441626
教堂,church,0.7899286324993418
帐户,account,0.7889609201789152
且,and,0.7888926679054883
村子,village,0.7882857656371812
坏,bad,0.7879791928681422
心脏,heart,0.7875946540974202
地板,floor,0.7866698432562665
给定,given,0.7863696555607947
棒球,baseball,0.7860925159372287
车子,car,0.7860665564860119
铅笔,pencil,0.7859184224930694
床,bed,0.785776037391221
仍然,still,0.7856927327804032
世界,world,0.7856221111483298
华盛顿,washington,0.7855029900212858
之间,between,0.7853160360042399
怀特,white,0.7845556617637893
甚至,even,0.783991191019282
巴顿,patton,0.783781246559592
字典,dictionary,0.7833864011800921
魁北克,quebec,0.7831868333325667
桥,bridge,0.7812543137417064
上午,morning,0.7806989246872467
3,three,0.7799035468080204
绿色,green,0.7797165494233117
婚姻,marriage,0.7796847412604272
可怜,poor,0.7796731521161887
花瓶,vase,0.7796256362829455
可是,but,0.7792690162307644
雪,snow,0.7791181165833868
请把,please,0.7782705871214066
市镇,town,0.7776858255934008
小说,novel,0.7774506527440948
铁,iron,0.776665552608997
如果,if,0.7760357915315298
狗,dog,0.7759524994359296
妹妹,sister,0.7757276529298576
四,four,0.7756854445653736
冬天,winter,0.7752707818569701
佣金,commission,0.7751914299568491
园丁,gardener,0.7751085348362121
猫,cat,0.7748685241259753
计算机,computer,0.7748592965971887
所有,all,0.7745675827460247
夜,night,0.7744570597064893
平行,parallel,0.7741583572000726
公众,public,0.7725651485572701
合同,contract,0.7725400240181095
肉,meat,0.7724678149876023
两条,two,0.7724461304630166
父亲,father,0.7720340199494746
小麦,wheat,0.7706774554850954
屏幕,screen,0.7704894836552277
织物,fabric,0.7702850843605135
知识,knowledge,0.7700227220587768
水果,fruit,0.7698867798905554
早晨,morning,0.7695419766883194
明天,tomorrow,0.7692460682751289
电路,circuit,0.7688161384078697
土地,land,0.7686590070242539
血液,blood,0.7685924634508231
第一,first,0.7683576644804226
直至,until,0.768263999958543
西南部,southwest,0.7680062495391999
婴儿,baby,0.7678439629536324
东北部,northeast,0.7676118657242489
天花板,ceiling,0.7675774055247133
词典,dictionary,0.7671138529159268
党,party,0.7661317439443401
棕色,brown,0.7659889810749464
海伦,helen,0.7650717760911695
马克,mark,0.7648946711443513
沙漠,desert,0.7647674474954244
更好的,better,0.7644538783757093
在她,her,0.76434205584051
分批,split,0.7640022866183008
铁丝,wire,0.763892104527919
故事,story,0.7638796048954068
脏,dirty,0.7637110209945697
公共汽车,bus,0.7630663399343713
金属,metal,0.7628899501913471
网球,tennis,0.7628030923228475
预算,budget,0.7626757767546188
冰糖,frosting,0.762638286047733
一半,half,0.7625117285308857
机器,machine,0.762438270722359
英尺,feet,0.7623138719022965
一根,a,0.7622984072716105
纸,paper,0.7616650560885906
生命,life,0.7616552030070618
第一个,first,0.7616287967831445
按揭,mortgage,0.7614623142167446
玉米,corn,0.7614309858288721
透过,through,0.7611123374595157
那头,the,0.7609894695867688
句子,sentence,0.7609483999627784
长长的,long,0.7609012283131074
保罗,paul,0.7608296362533631
燃料,fuel,0.7607964685884944
古代,ancient,0.7604861787928286
家和,and,0.7601889473525668
总监,director,0.7601019278246283
这位,the,0.7599029850178113
物以类聚,like,0.7598425659329247
球队,team,0.7597357318731491
脸,face,0.7596071687494469
河,river,0.7594876800787628
可读性,readable,0.7594786348692204
椅子,chair,0.7593282055883533
食品,food,0.7589180593731539
火灾,fire,0.7588765902994816
睡眠,sleep,0.7586166448233904
套汇,exchange,0.7581857050260544
之前,before,0.7580784102292989
间或,or,0.7573006910218839
歌剧,opera,0.7571984031850054
六,six,0.7569698898842602
马鞍,saddle,0.756608879114127
特指,especially,0.7564394734843586
消息,news,0.7563300839634944
在我的,my,0.7561620735186281
通常,usually,0.7557995006741923
早上,morning,0.7554937081557302
茶,tea,0.7552640761537491
妻子,wife,0.7547874285283435
未来,future,0.7541395232173342
勇气,courage,0.753948089174915
丁,martin,0.753556622653819
政治上,political,0.7534126819141553
将它,it,0.753192338868099
该项,the,0.7531704314737463
汉语,chinese,0.7529676000148275
印度,india,0.7529234527467158
理论,theory,0.7526391204805962
老师,teacher,0.7522037592783242
石油,oil,0.7517650662968136
老板,boss,0.7517373333306869
收音机,radio,0.7513829179546334
丈夫,husband,0.7509972064140519
大街,street,0.7503868772194232
回家,home,0.7503016733553137
地中海,mediterranean,0.7495871686589421
清茶,tea,0.7495814769525551
儿子,son,0.7494493044415144
请,please,0.7488868001426648
事故,accident,0.7484872426114761
旅馆,hotel,0.7483553796311759
林肯,lincoln,0.7483210330398309
发票,invoice,0.7482310168860159
工厂,factory,0.748123031490878
曹,sergeant,0.7480324005456244
灰尘,dust,0.748004591741414
在那里,there,0.7476536186612828
罗伯特,robert,0.7476031790668253
油,oil,0.7474066727892807
塑料,plastic,0.7463138222896639
秘密,secret,0.746313770990586
婚礼,wedding,0.7461917073024328
图书馆,library,0.7459003984172018
王子,prince,0.7453342223690984
蓝,blue,0.7441151658642903
两种,two,0.7439993200634543
摄像机,camera,0.7439632852822435
光,light,0.7437984926661839
女儿,daughter,0.7435898216603797
西南,southwest,0.7428070595577849
系统,system,0.7427201433266543
村,village,0.7426276045221593
妈妈,mother,0.7424865930260964
危机,crisis,0.7422796016543027
德语,german,0.7413554649612658
采矿,mining,0.74125392868479
手表,watch,0.7406379622435653
当地,local,0.7403035711437008
血,blood,0.7398994103215359
加拿大,canada,0.7398554414450679
饭馆,restaurant,0.7398055338510008
开发部,development,0.7397969576299576
头部,head,0.7394190603039087
分钟,minutes,0.7393746632928809
公牛,bull,0.7389016916566672
叔叔,uncle,0.7387712168445382
经理,manager,0.7386238189259977
外衣,coat,0.7383635356946203
第三,third,0.7382892715678753
不过,but,0.738190883399516
暴力,violence,0.7378983546412354
敌人,enemy,0.7374479034775667
音乐会,concert,0.7372748448190045
一些,some,0.7371226940254232
电脑,computer,0.7368659087057114
人生,life,0.7368122565094867
二进制,binary,0.7365208008876656
今日,today,0.7364532911285826
除非,unless,0.7360478595690452
大多数,most,0.7353709288558893
列车,train,0.7350499498890397
屋顶,roof,0.7349624940511409
干草,hay,0.7348216902627798
从未,never,0.7346891578988605
热带,tropical,0.7346379043033969
向后,back,0.734622312148895
煤气,gas,0.7346016552943163
人和,and,0.7344645731461739
打字机,typewriter,0.7340743313396199
空间,space,0.7334839243858285
火车,train,0.733214539022212
鸟类,birds,0.7330327764872678
生日,birthday,0.7325608927350845
苏珊,susan,0.7325388490810978
抱紧,embraced,0.7323315825881846
年轻,young,0.7323217525796933
春天,spring,0.732079014977662
琼,jones,0.7320587205468343
背部,back,0.732006582307666
午饭,lunch,0.7319041636630981
现在,now,0.7317052257745941
英格兰,england,0.731687823917899
薄,thin,0.7313916213789583
聚会,party,0.7313720844056911
羊毛,wool,0.7309747458273
台湾,taiwan,0.7306535692834798
经验,experience,0.7306231365488378
皇帝,emperor,0.7305939569765494
乡间,country,0.7301305211071848
亚伯拉罕,abraham,0.7299833130051954
只有,only,0.7298043836825195
交融,mobile,0.7297852139210663
这座,the,0.7295858121284262
人口,population,0.7295501521850017
海上,sea,0.7290259704502067
如在,as,0.7282019160949696
乔,joe,0.7272977911941918
给我,me,0.7271913261101554
不久,soon,0.7271166209152027
五月,may,0.7267154108849395
一生,life,0.7264906189456782
长度,length,0.7262244805643655
影片,film,0.7260346419705788
硬件,hardware,0.7258139535366311
教师,teacher,0.7256015156628884
员工福利,benefits,0.7255007946618319
猪肉,pork,0.7254792345281539
保护性,protective,0.725326510563631
瓶子,bottle,0.7251884549184953
银,silver,0.7249430638989635
家人,family,0.7245108042540238
建筑师,architect,0.7239958669072544
甜,sweet,0.723949531121145
羊,sheep,0.7238759946450425
早饭,breakfast,0.7233260342706248
进去,in,0.7231958841761393
死亡,death,0.7231057786645051
宫殿,palace,0.7229652803679988
教授,professor,0.7227525504085354
双手,hands,0.7226642789191944
绞碎,ground,0.722407894463586
詹姆斯,james,0.722153112226875
谷物,grain,0.7218643370972
蛋糕,cake,0.7216180471821085
暴风雨,storm,0.7215159811884292
早期,early,0.7213981929690026
铅,lead,0.7212131290824437
之后,after,0.7211745505630464
硝石,saltpeter,0.7209123112605811
朋友们,friends,0.720605366445844
进一步,further,0.7203125431858365
鞋子,shoes,0.7201219363509079
最好的,best,0.7200698632426245
怎样,how,0.7198638027801324
收据,receipt,0.7195775510495698
本地,local,0.719470650936658
无线电,radio,0.7193336017202923
软,soft,0.7192179238756474
外套,coat,0.7189398412491085
磅,pounds,0.7188964738771616
门上,door,0.7187466086235578
棉布,cotton,0.7186848426614937
法庭,court,0.7184267658306622
厨房,kitchen,0.71826082493164
10,ten,0.7179482629198527
大楼,building,0.7179314736018446
向我,me,0.7178377278963559
镇上,town,0.7174629182400162
山谷,valley,0.7171964263075147
尤其,especially,0.716810258909952
地球,earth,0.7163543639496472
审判,trial,0.7159043211349353
古老,old,0.7157274419758649
四月,april,0.715458002747104
姑娘,girl,0.7151602803668257
演说,speech,0.7147173828785587
钢琴,piano,0.7146574522167155
市长,mayor,0.7143059913696072
脖子,neck,0.7135391894095581
窄的,narrow,0.7133858346117447
粘土,clay,0.7130808432748418
算术,arithmetic,0.7130479721265834
同一,same,0.7128712567001441
昂贵,expensive,0.7124455561279417
惟一,only,0.7121833580814423
你,you,0.7121413928781317
城堡,castle,0.7116433365383097
警方,police,0.711543696837558
敌军,enemy,0.7113635290500764
社区,community,0.7110533225606566
唯一,only,0.7107997123671329
为什么,why,0.7103389331927659
放射性同位素,isotope,0.7103371300772267
将军,general,0.710258861882791
姑妈,aunt,0.709723974528502
白白的,naked,0.709374285062765
树木,trees,0.7092849739570511
连衣裙,dress,0.709218149956085
领子,collar,0.708867627124738
新加坡,singapore,0.7088253504437763
或在,or,0.708747039386663
肥皂,soap,0.7082471557179553
粉红色,pink,0.7080048638170935
实践,practice,0.7071776629581465
并在,and,0.7071331245996291
如何,how,0.7070140325594024
板子,board,0.7070113114085192
女孩,girl,0.7068862125710449
广场,square,0.7067636603346604
嫌忌,hatred,0.7065065346804306
棉,cotton,0.7063759099068873
公园,park,0.7060036081805002
全都,all,0.7059201481541781
半岛,peninsula,0.7051383125808377
牛津,oxford,0.7050357159931618
那条,the,0.7049981982075227
面孔,face,0.7048149506099898
高尔夫球,golf,0.7046827350687929
迈克,mike,0.7046197991459233
手稿,manuscript,0.7039333215714527
牙买加,jamaica,0.703534482796298
手臂,arm,0.70345817186384
窗,window,0.7031202234658199
舌头,tongue,0.703082414668018
烟斗,pipe,0.7030575532763944
葡萄酒,wine,0.7029258306043846
那里,there,0.7029228218717278
司机,driver,0.7023765199932595
司令,commander,0.7021734129139434
超自然,supernatural,0.7020272391239747
推销员,salesman,0.7017629535922525
夏季,summer,0.701532842158024
表面,surface,0.7010265810215537
电报局,telegram,0.7007103189239893
背靠背,back,0.7005487942769476
太空,space,0.7003780878117195
疹,eruption,0.7003664924622821
要是,if,0.6998310117193721
皇家,royal,0.6993516155866194
领袖,leader,0.6990379191861894
陌生,strange,0.698850635017964
引擎,engine,0.6987962223342037
总统,president,0.6985885260955567
干燥,dry,0.6984808276139427
模型,model,0.6980685971323286
大理石,marble,0.6978785300436916
黄金,gold,0.6971629298229329
更好,better,0.6964575203291221
刀,knife,0.6963352642463988
男孩,boy,0.6961778685118596
西北,northwest,0.6961342825427087
说道,said,0.6959272853994383
我,i,0.695867013955134
号码,number,0.6957409421922355
该党,party,0.695258905557512
照相机,camera,0.6949916277430689
时间,time,0.6948479065898009
歌唱家,singer,0.6948358233712049
光线,light,0.694592431807431
右,right,0.6945714127523358
克林顿,clinton,0.6945468994572876
扁,flat,0.6944744236178712
办事处,office,0.6942846268095617
裤子,trousers,0.6942564245941311
腌制,pickled,0.6940623193343268
梯子,ladder,0.6932854769994962
布什,bush,0.6927324697394488
两根,two,0.6926206944242538
已婚,married,0.6925239324986558
向她,her,0.692509171962727
内线,house,0.6922689914257817
抽屉,drawer,0.6921844041279057
兴趣,interest,0.6917191308690271
输出,output,0.6916497729251927
您,you,0.6912646736703638
青蛙,frog,0.6908807694235486
桌子,table,0.690821417336396
炎症,inflammation,0.6907343560642114
部长,minister,0.6907266700252441
表格,form,0.6901584745622207
爱因斯坦,einstein,0.6900447601477456
从,from,0.6896640861000182
尽可能,as,0.689533597800183
著名的,famous,0.6894066246679706
任何,any,0.6892586491536039
拿破仑,napoleon,0.68906288536087
血债,blood,0.6885944890778846
用血,blood,0.6885944890778846
材料,material,0.6885144466536535
沙子,sand,0.6882849797185525
记忆,memory,0.6880922361644001
常是,often,0.6879279440560427
价格,price,0.6876837816769252
乡村,country,0.6876343925631261
加利福尼亚,california,0.6873756503723236
狐狸,fox,0.6873648074790024
律师,lawyer,0.6871653131207202
城市,city,0.6868476387447642
买了,bought,0.6857826542351768
十月,october,0.6856828402995783
她把,she,0.6855844026941961
并把,and,0.6854323207150332
帮助,help,0.6853824990425926
接线员,operator,0.6852385226861623
饭店,hotel,0.6849323397433821
鲍,bob,0.6847328700787007
尼龙,nylon,0.6843289865767999
阿波罗,apollo,0.6843224152797319
发动机,engine,0.6842325420797829
作为,as,0.6841576290959546
犯罪,crime,0.6836063541646328
伞,umbrella,0.6835143688080372
墙壁,wall,0.6833898079475589
天然的,natural,0.6832752414412906
应用软件,applications,0.6832167523759453
廉价,cheap,0.683017615071361
微风,breeze,0.6829443347383848
夫人,mrs,0.6827977600886286
结构,structure,0.6824371579104563
它有,it,0.6822326324125081
从来没有,never,0.6821601184775488
利物浦,liverpool,0.6821458838598391
制成,made,0.6819740739506337
温度,temperature,0.6818543722781806
或是,or,0.6811939502284081
老婆,wife,0.6810783708830671
婴孩,baby,0.6809673868208564
摩擦,friction,0.6806360591790478
盒子,box,0.680554638491952
碗,bowl,0.6803473389995526
姐姐,sister,0.6802895458974454
油画,painting,0.680273666930436
裙子,skirt,0.6802655437692531
反对党,opposition,0.6802477386376582
星期一,monday,0.6801419125585461
智利,chile,0.6800206661147012
那位,the,0.6798714256277825
篱笆,fence,0.6798109832865924
语言,language,0.6796213319748464
物理学家,physicist,0.6794618161220934
那名,the,0.679221165228258
质量,quality,0.6790526490417976
大厅,hall,0.6786217150300926
有些,some,0.6781580747752929
孩子们,children,0.6780246799388111
国王,king,0.6780132798802908
月球,moon,0.6778061224349262
一条线,line,0.6776810067146736
财产,property,0.6775515262800467
博物馆,museum,0.6774858477731875
里根,reagan,0.6774665045782302
地图,map,0.6773673303662481
好几,several,0.6773411818397739
翰,john,0.6772213191431206
两位,two,0.6764917727506581
短的,short,0.676374178581693
浅色,light,0.6759525777691938
多么,how,0.6757785596477132
医生,doctor,0.6757087904817399
疼痛,pain,0.6756437283196769
编号,number,0.6756322518230538
大衣,coat,0.6756098854010163
长期,long,0.6753873606991437
收入,income,0.6751610358933074
陪审团,jury,0.6751332539968335
周末,weekend,0.6750407512783062
超级市场,supermarket,0.6750056913840898
耶路撒冷,jerusalem,0.6749698845514576
贼,thief,0.6745682292805371
帮忙,help,0.6745098186264677
首都,capital,0.6745011831686077
丝绸,silk,0.6744588889287083
冷,cold,0.6742065384757526
以东,east,0.673991901492451
地震,earthquake,0.6736678343977622
维也纳,vienna,0.6735737106832129
熊,bear,0.6734900704633177
祖父,grandfather,0.6734412620516876
美丽,beautiful,0.673405486364462
诗人,poet,0.6730431612586414
品味,taste,0.6730103128788769
蜡烛,candle,0.672880828516879
沉重,heavy,0.6726570677186194
忠告,advice,0.6726549636261754
们,the,0.6726035130383369
新型,new,0.6723294900753425
手腕,wrist,0.672299357660192
保险柜,safe,0.6720980594292079
气态,gaseous,0.6720693986122177
毛发,hair,0.6720676947699554
拜占庭,byzantine,0.6720619104861167
特别是在,especially,0.6720604930641518
谁,who,0.6719529975702643
首先,first,0.6717113961555224
出厂,vintage,0.6715682606833612
拿好,collect,0.6714104211270127
6,six,0.6713711541549996
一般说来,generally,0.6711305297272041
放射性,radioactive,0.6711269322448072
陆地,land,0.6709962227903147
法院,court,0.6709201229848336
混合物,mixture,0.6709000138535204
书桌,desk,0.6708285804801615
第七,seventh,0.6706456316000097
莫斯科,moscow,0.6705356631574149
舞台,stage,0.6704771609395269
一个,a,0.6703979984821282
米饭,rice,0.6703715928227371
惯用,handed,0.6702444831538812
日间,daytime,0.6701119089547521
报告,report,0.6701077773520402
液体,liquid,0.670105476605158
过滤器,filter,0.6700355935023264
最佳,best,0.6699886740898648
大自然,nature,0.6697041892723975
炮艇,vessel,0.6695506389799423
国际,international,0.6692266336994526
短语,phrase,0.668695368411259
花朵,flowers,0.6685623350876225
星期日,sunday,0.6685064699126265
钓鱼,fishing,0.6684950398804681
兄弟,brother,0.6683670180232217
尾巴,tail,0.6683165801626635
墙上,wall,0.6682157933833663
信,letter,0.6681883492113362
朦的,misty,0.6677843139658608
八个,eight,0.6675868551326244
尺寸,size,0.6667523187801286
强中更有强中手,diamond,0.6666666666666666
月亮,moon,0.6664782261908165
七月,july,0.6663596298586151
眼泪,tears,0.6663532158098231
撰稿人,lancer,0.6662378331290254
南部,southern,0.6661907946717242
风暴,storm,0.6657738807846652
星星,stars,0.6657485398918435
抽象,abstract,0.6654233109840334
托马斯,thomas,0.6654040771326696
正如,as,0.6651952909765753
2175,extension,0.665050424785871
465,extension,0.665050424785871
轮船,ship,0.6648404570288627
哲学,philosophy,0.6648404193992262
群体,group,0.6645980738734448
女士们,ladies,0.6644557640058204
效果,effect,0.6639781732443716
实验室,laboratory,0.6638618081767904
她是,she,0.6633961222206459
非洲,africa,0.6633777291332102
存款额,current,0.663354496403536
太阳,sun,0.6633404939214758
办公,office,0.6632152339715748
动物园,zoo,0.6631729050274671
哪儿,where,0.6631446616298338
大西洋,atlantic,0.6631436715025191
遗嘱,will,0.6629337903768785
众议院,house,0.6625772529421967
那人,man,0.6624046472068497
甲板,deck,0.6623673620794877
泪水,tears,0.6622950434202396
文明,civilization,0.6620063215509083
小汽车,car,0.6619061089874585
混凝土,concrete,0.6618405071605072
人群中,crowd,0.6617348538688349
体系,system,0.6614419797895356
教练,coach,0.6612545494305447
新鲜,fresh,0.6612369578910328
但在,but,0.6612249326332394
家庭,family,0.6610562371985437
该国,country,0.6610180972945973
即使,even,0.660951545626661
氧,oxygen,0.6608312640780895
记得,remember,0.6608123414251972
伯明翰,birmingham,0.6604117393302331
作者,author,0.6603699054322177
星期五,friday,0.6600029586504822
季节,season,0.6599264901096376
戏,play,0.6597530165067887
集团,group,0.6596765600602673
重要,important,0.6595192001457542
有经验,experienced,0.6593499761516286
向你,you,0.6592635299638212
篮子,basket,0.6591779300325507
船长,captain,0.6590906999128319
大使,ambassador,0.6586659570534495
亚洲,asia,0.6584658920095233
麻烦,trouble,0.6582252088928282
健康,health,0.6581213623222694
她因,she,0.657686602716144
墨水,ink,0.6576743646034039
歌手,singer,0.6576295256935876
十,ten,0.6574731234107806
埃及,egypt,0.657431188968549
性虐待,abuse,0.6572971875785201
砖石,masonry,0.6570424402385966
代码,code,0.6566110278204228
往常,usual,0.6565595029819232
歌,song,0.6561128593965097
贝多芬,beethoven,0.6560873445641954
葬礼,funeral,0.6558624489992387
两名,two,0.6557521381605036
树皮,bark,0.6556587887781747
新来的,new,0.6556413765904272
主教,bishop,0.6555405861411714
海滩,beach,0.6555059500910067
平均,average,0.6553942819501866
鸡肉,chicken,0.6553192639533544
5,five,0.6552514263918443
锤子,hammer,0.655135228110444
弟弟,brother,0.6550399585309163
含有,containing,0.6548790189598971
叛国罪,treason,0.6545773254675474
协议,agreement,0.6543355673356623
她将,she,0.6542690794945574
骨头,bone,0.6541977509427476
坦克,tanks,0.6541931926904817
工程,project,0.654068906987877
下一个,next,0.6539534212291196
到她,her,0.653752546482673
八月,august,0.6535705163851462
谋杀,murder,0.6533324351488892
汽车,car,0.6533260628552976
小镇,town,0.653258320710204
议案,bill,0.6532510885635058
选举,election,0.653126594474598
东南部,southeast,0.6531167465208796
胳膊,arm,0.6530696027606551
星期三,wednesday,0.65292382310505
衬衫,shirt,0.6527470176276872
第一批,first,0.6526777894849957
教育,education,0.65231626016412
琳,linda,0.6522459592176388
若,if,0.6517967705005356
人民,people,0.6517950305785807
文艺复兴,renaissance,0.6516093274274875
比,than,0.651117735757835
大胜,thumping,0.651031330699914
皮革,leather,0.6509953718658095
新闻,news,0.6509423288991085
出租汽车,taxi,0.6509422995811758
背上,back,0.650814931217849
走廊,corridor,0.6506640991035147
顺序,order,0.6506515808103894
或可,or,0.6506340980782601
信封,envelope,0.6500400092737082
垂直,vertical,0.6500166205888719
玛,mary,0.6498017294188709
哪里,where,0.6497603246068574
热量,heat,0.6493689061060048
不同,different,0.6491193682387787
助理,assistant,0.6490788363940518
脸上,face,0.6489802702410952
卫星,satellite,0.6488834206292318
喂饭,feed,0.6488711660079486
骨盆,pelvic,0.6486747774196019
朝我,me,0.6486242756499888
稻草,straw,0.6485682988346056
许多,many,0.648539351423125
几种,several,0.6484701593715884
墨经,furies,0.6483600815107609
十二月,december,0.6481889458099785
订单,order,0.6480377763074608
条,a,0.6479652150145705
视频,video,0.6479283339446256
临时性,pickup,0.647768233365711
烟雾,smoke,0.647682034181088
车,car,0.6476675263110223
主修科目,major,0.6476208037047513
词,word,0.6474319203193608
不透明,opaque,0.6473370880206052
夷,hawaii,0.6470711012521635
终端,terminal,0.6469378191591066
公主,princess,0.6468068019758987
中古,middle,0.6466739874474011
1089,be,0.6466383166546086
牛仔裤,jeans,0.6465247249071564
前臂,the,0.6465212640342584
度假,holiday,0.6465212329565724
工程师,engineer,0.6462760582375602
冰,ice,0.6460673453881711
